uniprot,Mean Diff.,Discovery?,q value,Individual P Value
O70374,-0.1606,No,0.88,0.21
O70378,-0.03233,No,1.00,0.80
O70400,0.007777,No,1.00,0.95
O70401,0.2967,No,0.24,0.02
O70404,-0.1634,No,0.86,0.20
O70421,-0.2035,No,0.67,0.11
O70422,-0.1664,No,0.85,0.19
Q812C9,-0.393,Yes,0.04,0.00
O70433,-0.07447,No,1.00,0.56
O70435,0.02104,No,1.00,0.87
O70439,0.009386,No,1.00,0.94
O70456,-0.6896,Yes,0.00,0.00
O70458,-0.08638,No,1.00,0.50
O70472,-0.2315,No,0.51,0.07
O70475,0.2165,No,0.60,0.09
O70479,-0.01551,No,1.00,0.90
O70480,-0.2041,No,0.67,0.11
O70481,-0.06786,No,1.00,0.59
O70492,0.03329,No,1.00,0.79
O70493,-0.178,No,0.80,0.16
O70494,-0.4755,Yes,0.01,0.00
O70496,-0.05129,No,1.00,0.69
O70503,-0.2411,No,0.46,0.06
O70546,0.01278,No,1.00,0.92
O70551,-0.00237,No,1.00,0.99
O70566,-0.245,No,0.45,0.05
O70572,-0.0566,No,1.00,0.66
O70579,0.0176,No,1.00,0.89
O70583,-0.1129,No,1.00,0.37
O70584,-0.09726,No,1.00,0.44
O70589,-0.08699,No,1.00,0.49
O70591,0.09409,No,1.00,0.46
O88196,-0.195,No,0.72,0.12
O88207,-0.1788,No,0.79,0.16
O88271,0.1651,No,0.86,0.19
O88286,-0.08481,No,1.00,0.50
O88291,0.006568,No,1.00,0.96
O88307,0.08739,No,1.00,0.49
O88322,-0.1643,No,0.86,0.19
O88327,-0.1057,No,1.00,0.40
O88342,-0.02567,No,1.00,0.84
O88343,-0.1197,No,1.00,0.34
O88351,-0.04403,No,1.00,0.73
O88379,-0.5386,Yes,0.00,0.00
O88384,0.07123,No,1.00,0.57
O88393,-0.1356,No,0.97,0.28
O88413,-0.2487,No,0.43,0.05
O88428,0.1011,No,1.00,0.42
O88441,-0.09334,No,1.00,0.46
O88447,-0.02437,No,1.00,0.85
O88448,-0.07276,No,1.00,0.57
O88455,0.03647,No,1.00,0.77
O88456,0.1125,No,1.00,0.37
O88466,-0.06347,No,1.00,0.62
O88477,-0.5546,Yes,0.00,0.00
O88487,-0.03791,No,1.00,0.76
O88491,-0.4317,Yes,0.02,0.00
O88492,0.03935,No,1.00,0.76
O88502,0.1803,No,0.79,0.15
O88508,0.214,No,0.61,0.09
O88512,0.0003353,No,1.00,1.00
O88520,-0.0883,No,1.00,0.49
O88522,0.0005749,No,1.00,1.00
O88531,-0.2045,No,0.66,0.11
O88532,-0.2684,No,0.35,0.03
O88543,0.09468,No,1.00,0.45
O88544,0.08211,No,1.00,0.52
O88545,0.01465,No,1.00,0.91
O88554,-0.06913,No,1.00,0.59
O88559,-0.07603,No,1.00,0.55
O88561,0.01875,No,1.00,0.88
O88569,0.09945,No,1.00,0.43
O88572,-0.1945,No,0.72,0.12
O88574,-0.05305,No,1.00,0.68
O88587,-0.2065,No,0.65,0.10
O88597,0.0163,No,1.00,0.90
O88622,-0.05522,No,1.00,0.66
O88630,-0.1406,No,0.95,0.27
O88632,-0.1025,No,1.00,0.42
O88643,-0.0292,No,1.00,0.82
O88653,0.0237,No,1.00,0.85
O88665,0.1584,No,0.88,0.21
O88667,-0.09277,No,1.00,0.46
O88668,-0.1578,No,0.88,0.21
O88673,0.09403,No,1.00,0.46
O88676,0.0565,No,1.00,0.66
O88685,0.001124,No,1.00,0.99
O88696,0.02317,No,1.00,0.85
O88697,0.03243,No,1.00,0.80
O88712,0.04034,No,1.00,0.75
O88736,0.2578,No,0.39,0.04
O88738,0.1228,No,1.00,0.33
O88746,-0.07465,No,1.00,0.56
O88792,0.1528,No,0.90,0.23
O88796,-0.06742,No,1.00,0.59
O88811,0.05729,No,1.00,0.65
O88822,0.2552,No,0.40,0.04
O88824,0.1032,No,1.00,0.42
O88829,-0.06434,No,1.00,0.61
O88838,0.1693,No,0.85,0.18
O88839,-0.3681,No,0.07,0.00
O88842,-0.3289,No,0.14,0.01
O88844,-0.001783,No,1.00,0.99
O88845,-0.05912,No,1.00,0.64
O88848,0.07071,No,1.00,0.58
O88851,-0.03784,No,1.00,0.77
O88852,-0.08873,No,1.00,0.48
O88856,-0.008293,No,1.00,0.95
O88874,0.1189,No,1.00,0.35
O88876,0.04463,No,1.00,0.72
O88878,0.05579,No,1.00,0.66
O88879,-0.09799,No,1.00,0.44
O88895,0.03228,No,1.00,0.80
O88942,0.1719,No,0.84,0.17
O88952,-0.03737,No,1.00,0.77
O88958,-0.09604,No,1.00,0.45
O88967,0.1509,No,0.91,0.23
O88974,-0.04168,No,1.00,0.74
O88983,0.0923,No,1.00,0.47
O88986,-0.04844,No,1.00,0.70
O88990,0.3013,No,0.23,0.02
P63056,-0.135,No,0.97,0.29
O89001,-0.0466,No,1.00,0.71
O89013,0.02019,No,1.00,0.87
O89016,-0.2987,No,0.24,0.02
O89017,0.4206,Yes,0.02,0.00
O89023,-0.03306,No,1.00,0.79
O89026,0.02383,No,1.00,0.85
O89032,-0.05922,No,1.00,0.64
O89050,0.04361,No,1.00,0.73
